cell,markers
liver kupffer cells,"['CD163', 'LIPA', 'CREG1', 'VCAN', 'VCAM1', 'FCGR3A', 'CD68', 'MSR1', 'TPP1', 'CR1', 'ITGB2', 'CYBB', 'ITGAM', 'CPM', 'PSAP', 'AXL', 'IL1R2', 'CD33', 'MERTK', 'SIGLEC1', 'CD84', 'ABCA1', 'KCNE3', 'SIGLEC10', 'MRC1', 'FCGR1A', 'PLBD1', 'FGL2', 'LRRC25', 'SIGLEC7', 'EVI2A', 'CLEC12A', 'CMKLR1', 'IFI30', 'LILRA1', 'SIRPB1', 'PTAFR', 'TLR4', 'FLT3', 'TMEM26', 'HFE', 'LILRB1', 'CPVL', 'ACE', 'TLR2', 'SUCNR1', 'SIGLEC9', 'OSCAR', 'IL17RA', 'SLC46A1', 'FCAR', 'LTB4R', 'CD244', 'PILRA', 'CD1D', 'MCOLN1', 'TMEM132E', 'NTSR1', 'ELANE', 'SUSD1', 'SIGLEC12', 'FLG2', 'GFRA2', 'SIDT2', 'MCEMP1', 'SIGLEC5', 'INHBE', 'NXF2', 'PPIAL4A', 'PCDHGC5', 'NTN3', 'PCDHA11', 'EPX', 'PCDHA6', 'TRHR', 'VSTM1', 'TPTE', 'TMEFF1', 'TNFSF18', 'FCGR2A', 'PCDHGB4', 'GP5', 'PCDHGB1', 'TLR9', 'CD101', 'CDSN', 'SLC6A2', 'LILRA5', 'TLR1', 'SLC45A2', 'TNFRSF8', 'PCDHGB5', 'ARSF', 'SLITRK3', 'HTR1D', 'CACNG6', 'PCDHGA9', 'PCDH20', 'UGT1A9']"
heart muscle cardiomyocytes,"['DKK3', 'SLC8A1', 'GREM1', 'CDH2', 'IDH2', 'UQCRC2', 'SGCD', 'SLC5A1', 'SLC2A4', 'CLCN6', 'PARM1', 'ITGA7', 'ANO5', 'ASAH1', 'FNDC5', 'KCNH2', 'CALU', 'PCDH7', 'CACNA2D1', 'PTGFRN', 'TMX4', 'BVES', 'DCBLD2', 'SCN2B', 'EPHA4', 'GABRB3', 'BDNF', 'PTPRQ', 'PCDHGA9', 'TLL2', 'PCDH20', 'SIGLEC5', 'AMIGO1', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'PCDHA11', 'EPX', 'PCDHA6', 'TPTE', 'TMEFF1', 'PCDHGB1', 'PCDHGB4', 'THSD4', 'HTR1D', 'GP5', 'TRHR', 'CDSN', 'FLG2', 'EFNB3', 'UGT1A9', 'ACVR2B', 'TLR9', 'C4A', 'PLXNB3', 'TNFSF18', 'SLC6A2', 'ARSF', 'INHBE', 'NTSR1', 'PCDHGA8', 'PCDHGB5', 'SLC45A2', 'ADAMTS15', 'DBH', 'CACNG6', 'SLITRK3', 'FLRT1', 'IGSF1', 'TMEM132E', 'ADORA1', 'SLC29A2', 'ZP4', 'SLC26A5', 'SIGLEC12', 'PCDHA10', 'CPZ', 'PLA2G3', 'CEACAM8', 'ELFN1', 'KIR3DL1', 'ROR1', 'COL2A1', 'PCDHGA12', 'ELFN2', 'ALPP', 'UNC5A', 'KIR2DL3', 'CELSR3', 'TYRP1', 'ULBP3', 'SCNN1D', 'TMPRSS5', 'AGTR2', 'LRRC15', 'BCHE', 'ROR2', 'CDH15']"
placenta smooth muscle cells,"['LUM', 'SERPINE2', 'COL3A1', 'IGFBP3', 'AREG', 'DCN', 'SERPINF1', 'COL6A2', 'APOD', 'COL6A1', 'MFAP4', 'AGTR1', 'COL1A2', 'SERPING1', 'COL1A1', 'COL6A3', 'HSD17B2', 'OLFML3', 'ENPP1', 'THY1', 'NID2', 'CDH11', 'OGN', 'VTN', 'ISLR', 'LIPG', 'COL14A1', 'F3', 'COL5A1', 'ITGA1', 'MXRA8', 'CADM3', 'LAMA2', 'PCDH18', 'VCAM1', 'SERPINH1', 'F5', 'KCNK17', 'CNTFR', 'VASN', 'RERG', 'RCN3', 'ANGPTL1', 'LOX', 'MRGPRF', 'LTBP1', 'HTR2B', 'HSD11B1', 'COL5A3', 'CTSK', 'ANGPTL2', 'MOXD1', 'OLFML2B', 'PXDN', 'EMILIN1', 'ADAMTS15', 'APCDD1', 'PLOD2', 'ITGA9', 'BDNF', 'IGDCC4', 'LGALS3BP', 'GPC4', 'C1QTNF2', 'CSPG4', 'FAP', 'SULF2', 'SLIT2', 'PCBP3', 'ADRA2C', 'FKBP10', 'SLC6A15', 'TRPC6', 'ROR2', 'FBLN2', 'FKBP7', 'S1PR3', 'NTRK1', 'CNTNAP1', 'PILRA', 'TMEM200B', 'COL6A6', 'DBH', 'CDH15', 'PRSS35', 'PCDHA6', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'PCDHA11', 'TRHR', 'PCDHGB1', 'TPTE', 'C4A', 'PCDHGB4', 'FLG2', 'EPX']"
liver plasma cells,"['IGHM', 'IGHA1', 'IGHG1', 'IGHG2', 'IGHG4', 'TNFRSF17', 'CD27', 'CD38', 'TNFRSF13B', 'FCRL5', 'GMPPB', 'CRELD2', 'SLAMF7', 'IL5RA', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'PCDHGC5', 'NTN3', 'PCDHA11', 'EPX', 'PCDHA6', 'TRHR', 'TPTE', 'TMEFF1', 'PCDHGB4', 'GP5', 'PCDHGB1', 'TOR3A', 'TLR9', 'CDSN', 'SLC6A2', 'FLG2', 'TNFSF18', 'SLC45A2', 'PCDHGB5', 'ARSF', 'HTR1D', 'CACNG6', 'PCDHGA9', 'PCDH20', 'UGT1A9', 'CEACAM8', 'FLRT1', 'PTPRQ', 'CD180', 'ZP4', 'SIGLEC12', 'CPZ', 'NTSR1', 'PLXNB3', 'PLA2G3', 'SLITRK3', 'PCDHA10', 'CELSR3', 'IGSF1', 'DBH', 'C4A', 'TSHR', 'PCDHGA8', 'UNC5A', 'ALPP', 'ELFN2', 'TMEM132E', 'SCN2B', 'COL2A1', 'CDH15', 'AGTR2', 'PCDHGA12', 'TLL2', 'LRRC15', 'TMPRSS5', 'MGAT5B', 'IGLON5', 'SLC26A5', 'NTRK1', 'TYR', 'TMEM63C', 'PCDHGB7', 'CRLF2', 'KIR3DL1', 'SLC6A11', 'EFNB3', 'ICAM5', 'TNFRSF8', 'KCNA3', 'VSTM1', 'ADAM19', 'ATG9A', 'IL1RL2', 'NXPH4', 'CD1B', 'PRG2', 'ADORA1', 'KCNK17', 'KIR2DL3', 'CHRNA3', 'GPR39', 'CCR4']"
stomach fibroblasts,"['DCN', 'LUM', 'MFAP4', 'POSTN', 'PLAT', 'PI16', 'SERPING1', 'FBLN2', 'COL6A2', 'PLVAP', 'CTSK', 'PDGFRA', 'VASN', 'SERPINF1', 'SCARA5', 'ABI3BP', 'OGN', 'SERPINA3', 'OLFML3', 'COL14A1', 'TNXB', 'EMILIN1', 'PROCR', 'ISLR', 'LRRN4CL', 'CPZ', 'RCN3', 'GPNMB', 'CERCAM', 'GLT8D2', 'CALCRL', 'FKBP10', 'SLIT3', 'CFH', 'PCDHGC3', 'CADM3', 'FGFR4', 'ROR2', 'C4A', 'TMEFF1', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'SLITRK3', 'CDSN', 'PCDHA11', 'EPX', 'PCDHA6', 'TRHR', 'KCNK17', 'MRC2', 'TPTE', 'PCDHGB4', 'PCDHGB1', 'HTR1D', 'FLG2', 'UGT1A9', 'HSD11B1', 'GP5', 'SLC45A2', 'SLC6A2', 'ARSF', 'SLC19A2', 'TNFSF18', 'DBH', 'INHBE', 'SIGLEC12', 'PCDH20', 'CACNG6', 'PCDHGB5', 'PCDHA10', 'PCDHGA9', 'PCDHGA12', 'F2RL3', 'ELFN1', 'TMEM132E', 'NTSR1', 'CEACAM8', 'PTPRQ', 'ABCA8', 'FLRT1', 'ZP4', 'PLA2G3', 'SCN2B', 'PCDHGB7', 'TLL2', 'ANGPTL2', 'IL1RL2', 'TMEM26', 'PLXNB3', 'AGTR2', 'LRRC15', 'NTRK1', 'KIR3DL1', 'IGDCC4', 'IGSF1', 'PCDHGA8']"
tongue endothelial cells,"['AQP1', 'PECAM1', 'VWF', 'CLEC14A', 'PLVAP', 'LIFR', 'LRRC32', 'SLCO2A1', 'CD34', 'PODXL', 'FLT1', 'PTPRB', 'CDH5', 'CALCRL', 'RAMP3', 'TGFBR2', 'HSPG2', 'HEG1', 'JAM2', 'TIE1', 'SLCO4A1', 'OLFM1', 'SELP', 'EPHA4', 'TEK', 'S1PR1', 'JAG2', 'CLEC1A', 'TSPAN18', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'PCDHA11', 'EPX', 'PCDHA6', 'TRHR', 'PCDHGB1', 'TPTE', 'TMEFF1', 'HTR1D', 'GP5', 'PCDHGB4', 'CDSN', 'THSD1', 'FAT4', 'ELFN1', 'UGT1A9', 'PCDHGB5', 'TLR9', 'ITGA9', 'C4A', 'SLC45A2', 'TNFSF18', 'SLC6A2', 'ITGA10', 'TLL1', 'PCDHGA9', 'NTSR1', 'DBH', 'INHBE', 'PCDH20', 'SLITRK3', 'TMEM132E', 'ENG', 'PTPRQ', 'FLG2', 'SLC26A5', 'ICAM5', 'CEACAM8', 'CACNG6', 'FLRT1', 'ZP4', 'SIGLEC12', 'CPZ', 'PLXNB3', 'PCDHA10', 'ARSF', 'IGSF1', 'KIR3DL1', 'MGAT5B', 'TNFRSF8', 'UNC5A', 'PCDHGA8', 'PCDHGB7', 'ALPP', 'PCDHGA12', 'CELSR3', 'KIR2DL3', 'TMPRSS5', 'SCN2B', 'FZD4', 'AGTR2', 'TMEM26', 'COL2A1', 'LRRC15', 'IGLON5', 'TLL2']"
brain excitatory neurons,"['PTPRD', 'LRP1B', 'CNTNAP2', 'NEGR1', 'SLC8A1', 'OPCML', 'PCDH9', 'CADM2', 'NLGN1', 'PCDH7', 'EFNA5', 'PTPRK', 'EPHA5', 'LSAMP', 'GRIA2', 'CDH10', 'CHSY3', 'SORCS1', 'GABRB3', 'TRHDE', 'SLC2A13', 'LAMA2', 'COL5A2', 'NCAM2', 'FAT3', 'FLRT2', 'CDH9', 'NELL1', 'CNTN1', 'NRCAM', 'RYR3', 'ITGA8', 'FRAS1', 'SLC44A5', 'SLIT2', 'CNTN3', 'TMEM132B', 'EPHA4', 'CDH8', 'CDH2', 'SCN2A', 'SEMA3A', 'PPM1L', 'PLXNA4', 'ROBO1', 'NTRK3', 'CDH6', 'NTNG1', 'SLIT3', 'SDK1', 'SORCS2', 'UNC5C', 'TLL1', 'NPTX1', 'CACNA2D1', 'ADAM22', 'SEMA5A', 'ITPR1', 'NRP1', 'ANO5', 'COL12A1', 'CDH13', 'GABRA2', 'CDH11', 'PLXNA2', 'MGAT5', 'COL11A1', 'OLFM1', 'GRID1', 'SLC12A5', 'CHL1', 'GRIK3', 'ZDHHC23', 'SLC6A15', 'STT3B', 'KIAA1549', 'UNC5A', 'ROR1', 'EPHA3', 'NPY1R', 'MOXD1', 'CACHD1', 'SEMA4F', 'PCDH17', 'BDNF', 'SERPINI1', 'ITGA11', 'LRRC8B', 'ITGB8', 'PTPRG', 'CDON', 'ICAM5', 'ACVR2A', 'ITGA9', 'ADCY9', 'DCBLD1', 'SLC38A6', 'MGAT5B', 'TYRO3']"
fallopian tube ciliated cells,"['FOLR1', 'DYNC2H1', 'MSLN', 'IL5RA', 'TCTN2', 'CACNG6', 'SLC22A4', 'CHST6', 'PTPRQ', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'GP5', 'NTN3', 'PCDHGC5', 'PCDHA11', 'EPX', 'TRHR', 'PCDHA6', 'HTR1D', 'CDSN', 'PCDHGB1', 'TPTE', 'PCDHGB4', 'TMEFF1', 'FLG2', 'UGT1A9', 'SLC45A2', 'TLR9', 'ARSF', 'TNFSF18', 'SLC6A2', 'NTSR1', 'C4A', 'INHBE', 'GPR39', 'FLRT1', 'PCDH20', 'EFNB3', 'DBH', 'TMEM132E', 'ZP4', 'ALPP', 'PLXNB3', 'SLC26A5', 'PLA2G3', 'PCDHGB5', 'PCDHGA8', 'KIR3DL1', 'PCDHA10', 'PCDHGA9', 'COL2A1', 'TMPRSS5', 'CELSR3', 'ELFN2', 'SIGLEC12', 'SCN2B', 'KIR2DL3', 'MGAT5B', 'IGSF1', 'TMEM26', 'TLL2', 'CPZ', 'LRP11', 'SLITRK3', 'TYR', 'TMEM63C', 'ULBP3', 'SLC46A1', 'CDH15', 'CNTN3', 'ADORA1', 'UNC5A', 'SCNN1D', 'SLC6A11', 'CRB2', 'FAM174A', 'SLC22A16', 'PRG2', 'IL1RL2', 'ICAM5', 'CELSR1', 'ATG9A', 'CD1B', 'IGLON5', 'SLC29A4', 'NXPH4', 'PCDHGA12', 'HEPACAM', 'LZTFL1', 'PCDHGB7', 'CHRNA3', 'AMIGO1', 'TSHR', 'FREM2', 'CNTNAP1', 'LRFN1', 'TNFRSF8', 'NTRK1']"
prostate mixed cell types,"['PTGS2', 'ENPP3', 'CLU', 'SLC2A9', 'SLCO2A1', 'ENPP4', 'UNC5B', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'EPX', 'PCDHA11', 'TRHR', 'ARSF', 'PCDHA6', 'TMEFF1', 'TPTE', 'PCDHGB4', 'PCDHGB1', 'GP5', 'FLG2', 'CDSN', 'UGT1A9', 'NTSR1', 'TLR9', 'C4A', 'HTR1D', 'SLC45A2', 'SLC6A2', 'TNFSF18', 'DBH', 'INHBE', 'CACNG6', 'PCDH20', 'TMEM132E', 'PLA2G3', 'PCDHGB5', 'PCDHGA9', 'SLITRK3', 'IL1RL2', 'SIGLEC12', 'CPZ', 'ZP4', 'FLRT1', 'PLXNB3', 'PTPRQ', 'KIR3DL1', 'PCDHA10', 'UNC5A', 'ALPP', 'CEACAM8', 'TLL2', 'IGSF1', 'PCDHGA12', 'SLC26A5', 'COL2A1', 'ELFN2', 'AGTR2', 'SCN2B', 'LRRC15', 'CELSR3', 'KIR2DL3', 'PCDHGA8', 'TMPRSS5', 'MGAT5B', 'TMEM26', 'IGLON5', 'CDH15', 'NTRK1', 'TMEM63C', 'TYR', 'CRLF2', 'KIAA1549', 'ADORA1', 'ELFN1', 'SCNN1D', 'VSTM1', 'ICAM5', 'PCDHGB7', 'SLC6A11', 'EFNB3', 'TNFRSF8', 'PRG2', 'GPR39', 'DISP2', 'SLC22A16', 'CD1B', 'ATG9A', 'TSHR', 'ULBP3', 'HEPACAM', 'LRFN1', 'CCR4', 'CHRNA3', 'HTR2B', 'AMIGO1', 'ADAMTS15']"
adipose tissue nk-cells,"['PRF1', 'CD7', 'KLRC1', 'KLRF1', 'KLRB1', 'GZMH', 'IL2RB', 'S1PR5', 'FCGR3A', 'FCRL6', 'KIR2DS4', 'KIR3DL1', 'IL2RA', 'KIR2DL3', 'CD160', 'CD96', 'CD226', 'NCR3', 'NMUR1', 'FCRL3', 'P2RY8', 'SIGLEC5', 'ITGAL', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'EPX', 'TRHR', 'PCDHA11', 'PCDHA6', 'TPTE', 'TMEFF1', 'GP5', 'HTR1D', 'PCDHGB4', 'PCDHGB1', 'CDSN', 'FLG2', 'UGT1A9', 'TLR9', 'C4A', 'SLC45A2', 'ARSF', 'SLC6A2', 'NTRK1', 'DBH', 'PCDHGB5', 'INHBE', 'SLCO4C1', 'PCDH20', 'CACNG6', 'TNFSF18', 'SLITRK3', 'SIGLEC12', 'CEACAM8', 'PCDHGA9', 'FLRT1', 'ZP4', 'PTPRQ', 'PLXNB3', 'CPZ', 'PLA2G3', 'NTSR1', 'TNFRSF9', 'SLC26A5', 'TNFRSF11A', 'IGSF1', 'ELFN2', 'ALPP', 'UNC5A', 'PCDHGA8', 'TMEM132E', 'CELSR3', 'COL2A1', 'AGTR2', 'TLL2', 'TMEM26', 'TMPRSS5', 'SCN2B', 'MGAT5B', 'LRRC15', 'PCDHA10', 'CDH15', 'TYR', 'PCDHGA12', 'ELFN1', 'TMEM63C', 'ATG9A', 'ADORA1', 'ULBP3', 'CXCR1', 'PCDHGB7', 'SLC6A11', 'ICAM5', 'CD244', 'PRG2', 'EFNB3', 'SCNN1D']"
lung ciliated cells,"['TSPAN1', 'ANPEP', 'BACE1', 'DYNC2H1', 'SLC22A4', 'MUC16', 'HHLA2', 'CACNG6', 'IL5RA', 'ADORA1', 'CHST6', 'CELSR1', 'MUC4', 'SLC43A1', 'TCTN2', 'LRP11', 'SLITRK6', 'SLC39A14', 'PROM1', 'SEL1L', 'FAM174A', 'EFNB3', 'LZTFL1', 'GP5', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'PCDHA6', 'EPX', 'PCDHA11', 'TRHR', 'TPTE', 'TMEFF1', 'HTR1D', 'CDSN', 'PCDHGB4', 'PCDHGB1', 'UGT1A9', 'SLC45A2', 'GPR39', 'FLG2', 'C4A', 'TLR9', 'SLC6A2', 'ARSF', 'TNFSF18', 'NTSR1', 'SLC26A5', 'INHBE', 'PCDH20', 'SIGLEC12', 'DBH', 'PCDHGB5', 'SLITRK3', 'NXPH4', 'TMEM132E', 'ZP4', 'FLRT1', 'PCDHGA9', 'CPZ', 'PLXNB3', 'ELFN2', 'CEACAM8', 'IGSF1', 'PTPRQ', 'UNC5A', 'CELSR3', 'TLL2', 'PCDHA10', 'PCDHGA8', 'COL2A1', 'SCN2B', 'PCDHGA12', 'TMPRSS5', 'LRRC15', 'TMEM26', 'MGAT5B', 'SLC22A16', 'TYR', 'KIR3DL1', 'TMEM63C', 'SCNN1D', 'IGLON5', 'AMIGO1', 'RET', 'ICAM5', 'SLC6A11', 'PRG2', 'PLA2G3', 'SLC29A4', 'IL1RL2', 'KIR2DL3', 'SMPDL3B', 'PCDHGB7', 'TSHR', 'HEPACAM', 'CDH15']"
liver cholangiocytes,"['FGFR2', 'SLC5A1', 'FGFR4', 'HSD17B2', 'PROM2', 'HHLA2', 'HTR1D', 'FGFR3', 'CDSN', 'FREM2', 'ADORA1', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'PCDHGC5', 'NTN3', 'PCDHA11', 'EPX', 'PCDHA6', 'TRHR', 'TPTE', 'TMEFF1', 'PCDHGB4', 'GP5', 'PTPRQ', 'PCDHGB1', 'TLR9', 'SLC6A2', 'FLG2', 'TNFSF18', 'SLC45A2', 'PCDHGB5', 'ARSF', 'CACNG6', 'PCDHGA9', 'PCDH20', 'UGT1A9', 'CEACAM8', 'FLRT1', 'CLCN2', 'ZP4', 'SIGLEC12', 'C4A', 'CPZ', 'NTSR1', 'PLXNB3', 'PLA2G3', 'TLL2', 'SLITRK3', 'PCDHA10', 'UNC5A', 'ALPP', 'ELFN2', 'TMEM132E', 'DBH', 'SCN2B', 'PCDHGA8', 'COL2A1', 'AGTR2', 'PCDHGA12', 'IGSF1', 'LRRC15', 'ADRA2A', 'SEZ6L2', 'GGT1', 'TMPRSS5', 'CELSR3', 'MGAT5B', 'IGLON5', 'IL1RL2', 'SLC26A5', 'NTRK1', 'TYR', 'IL17RB', 'TMEM63C', 'PCDHGB7', 'CRLF2', 'KIR3DL1', 'CDH15', 'ICAM5', 'SLC6A11', 'GPR39', 'VSTM1', 'ULBP3', 'EFNB3', 'ATG9A', 'NXPH4', 'CD1B', 'PRG2', 'KCNK17', 'TNFRSF8', 'KIR2DL3', 'CHRNA3', 'CCR4', 'TSHR', 'ADAMTS15', 'SEMA4F', 'ERBB3', 'LRRC4B']"
adipose tissue macrophages,"['HLA-DRA', 'HLA-DRB1', 'HLA-DPB1', 'HLA-DPA1', 'HLA-DQA1', 'AREG', 'HLA-DQB1', 'THBS1', 'IL1R2', 'HLA-DRB5', 'FGL2', 'PLAUR', 'MRC1', 'CD1C', 'OLR1', 'HLA-DQA2', 'CD163', 'LGMN', 'PTGS2', 'CD83', 'FCGR2B', 'F13A1', 'VCAN', 'FCGR2A', 'STAB1', 'TLR2', 'CD86', 'CSF2RA', 'MSR1', 'CXCL16', 'ICAM1', 'SLC1A3', 'MERTK', 'IL13RA1', 'GPR132', 'CD14', 'CPM', 'CCR7', 'COLEC12', 'SIGLEC1', 'CYBB', 'ITGAX', 'THBD', 'GFRA2', 'ITGAM', 'FCAR', 'PTGIR', 'CLEC12A', 'FLT3', 'DMXL2', 'TTYH3', 'TFRC', 'EMILIN2', 'CD33', 'SLC15A3', 'CD72', 'SEMA6B', 'CD1B', 'PTGER2', 'NEU1', 'ADAM8', 'PLXND1', 'CD1D', 'IL1RL2', 'PLTP', 'FCGR1A', 'HTR2B', 'TNFSF18', 'MCOLN1', 'TSPAN33', 'SIGLEC9', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'EPX', 'TRHR', 'PCDHA11', 'PCDHA6', 'TPTE', 'TMEFF1', 'SIGLEC12', 'LRRC25', 'SEMA4A', 'NTSR1', 'HTR1D', 'PCDHGB4', 'GP5', 'CDSN', 'PCDHGB1', 'FLG2', 'TLR9', 'UGT1A9', 'CRLF2', 'C4A', 'SLC45A2', 'ARSF', 'SLC6A2']"
bone marrow plasma cells,"['IGHG2', 'HSP90B1', 'PPIB', 'IGHM', 'CD38', 'TNFRSF17', 'FCRL5', 'SLAMF7', 'TMEM156', 'ITGB7', 'TNFRSF13B', 'TM9SF1', 'BSCL2', 'KCNA3', 'CD180', 'TSHR', 'IL5RA', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'PCDHA11', 'PCDHA6', 'TRHR', 'EPX', 'TPTE', 'TMEFF1', 'PCDHGB4', 'PCDHGB1', 'HTR1D', 'CDSN', 'CD27', 'FLG2', 'UGT1A9', 'C4A', 'TNFSF18', 'SLC45A2', 'SLC6A2', 'ARSF', 'INHBE', 'DBH', 'CACNG6', 'NTSR1', 'PCDH20', 'PCDHGA9', 'GP5', 'SLITRK3', 'PTPRQ', 'PCDHGB5', 'TMEM132E', 'HYOU1', 'TLR9', 'FLRT1', 'ZP4', 'SLC26A5', 'CPZ', 'PLXNB3', 'SIGLEC12', 'CELSR3', 'PLA2G3', 'PCDHA10', 'SLC2A5', 'TLL2', 'GMPPB', 'ELFN2', 'UNC5A', 'IGSF1', 'ALPP', 'PCDHGA8', 'SCN2B', 'COL2A1', 'TMEM26', 'AGTR2', 'LRRC15', 'PCDHGA12', 'MGAT5B', 'TMPRSS5', 'CEACAM8', 'IGLON5', 'PCDHGB7', 'CDH15', 'ELFN1', 'ULBP3', 'TYR', 'IL1RL2', 'NTRK1', 'CRLF2', 'ADORA1', 'EFNB3', 'TMEM63C', 'SCNN1D', 'ATG9A', 'SLC6A11', 'ICAM5', 'VSTM1', 'GPR39', 'KCNK17', 'CD1B']"
skeletal muscle endothelial cells,"['AQP1', 'VWF', 'ICAM2', 'CLEC14A', 'PLVAP', 'FLT1', 'CD36', 'HYAL2', 'PTPRB', 'ESAM', 'CDH5', 'BST2', 'A2M', 'PECAM1', 'PODXL', 'S1PR1', 'ITGA1', 'JAM2', 'RAMP3', 'PLAT', 'TIE1', 'EFNB2', 'NRP1', 'ITGA6', 'TSPAN18', 'SLC14A1', 'HMCN1', 'ENG', 'JAG2', 'APLNR', 'SELP', 'IL3RA', 'CLEC1A', 'PCDH1', 'PTPRM', 'PCDH19', 'TEK', 'SLCO4A1', 'VCAM1', 'F2RL3', 'TLL1', 'VEGFC', 'OLFM1', 'LRRC32', 'THSD1', 'EPHB4', 'LAMA5', 'ADRA2C', 'TSPAN2', 'SEMA6B', 'PCDHGC5', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGB4', 'EPX', 'PCDHA11', 'TRHR', 'PCDHA6', 'PCDHGB1', 'GP5', 'HTR1D', 'TPTE', 'TMEFF1', 'FLG2', 'FZD4', 'CDSN', 'UGT1A9', 'TNFRSF8', 'TMEM26', 'ELFN1', 'TLR9', 'C4A', 'TNFSF18', 'SLC45A2', 'PCDHGB5', 'ARSF', 'ICAM5', 'DBH', 'INHBE', 'PCDH20', 'SIGLEC12', 'SLC6A2', 'NTSR1', 'FLRT1', 'CEACAM8', 'ZP4', 'TBXA2R', 'PLXNB3', 'PLA2G3', 'SLC26A5', 'TMEM132E', 'CPZ', 'SLITRK3', 'CELSR3', 'PCDHA10', 'PCDHGA8', 'ELFN2']"
heart muscle endothelial cells,"['A2M', 'VWF', 'CD36', 'AQP1', 'POSTN', 'PECAM1', 'CDH5', 'NRP1', 'FLT1', 'ITGA1', 'PODXL', 'PTPRB', 'SLC14A1', 'ITGA6', 'NPR3', 'CLEC14A', 'TEK', 'S1PR1', 'RAMP3', 'PKHD1L1', 'SELP', 'APLNR', 'GREM1', 'LRRC32', 'EFNB1', 'FZD4', 'JAM2', 'CALCRL', 'JAG2', 'THSD1', 'HMCN1', 'SLCO2A1', 'LIFR', 'PCDHGA12', 'SCARF2', 'LAMA5', 'TRHR', 'FKRP', 'PCDHGA8', 'CEACAM8', 'SLC45A2', 'KIDINS220', 'TMEM26', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'BTN3A3', 'NTN3', 'PCDHGC5', 'PCDHGA9', 'PCDHA11', 'IL17RD', 'EPX', 'PCDHA6', 'BVES', 'PCDHGB4', 'LRRC15', 'TPTE', 'TMEFF1', 'HTR1D', 'GP5', 'PCDHGB1', 'CDSN', 'FLG2', 'UGT1A9', 'TLR9', 'SLC26A6', 'C4A', 'TNFSF18', 'SLC6A2', 'TIE1', 'ARSF', 'NTSR1', 'ITGA10', 'PCDHGB5', 'DBH', 'CACNG6', 'INHBE', 'PDCD1LG2', 'ELFN1', 'MGAT5B', 'TSPAN18', 'TMEM132E', 'SLITRK3', 'PEAR1', 'PCDH20', 'ZP4', 'SLC26A5', 'FLRT1', 'CPZ', 'CELSR3', 'PLA2G3', 'C1QTNF2', 'SIGLEC12', 'PLXNB3', 'IGSF1', 'PCDHA10', 'KIR3DL1', 'HTR2B']"
thymus endothelial cells,"['MMRN1', 'PLVAP', 'IGFBP3', 'VWF', 'EFEMP1', 'PECAM1', 'TFPI', 'AQP1', 'OLFM1', 'ICAM1', 'CLEC14A', 'THBD', 'RAMP3', 'SLCO2A1', 'LIFR', 'LRRC32', 'PKHD1L1', 'PODXL', 'PTPRB', 'ENG', 'EFNB2', 'POSTN', 'CDH5', 'PLAT', 'HYAL2', 'ICAM2', 'S1PR1', 'FLT1', 'TIE1', 'HSPG2', 'ADAM15', 'SELP', 'PTPRM', 'FLT4', 'SLCO4A1', 'CD36', 'IL3RA', 'VCAM1', 'ESAM', 'A2M', 'SEMA6B', 'JAM2', 'VEGFC', 'CALCRL', 'TEK', 'PCDH1', 'CD34', 'F2RL3', 'JAG2', 'EPHB4', 'THSD1', 'SEMA3A', 'TLL1', 'EPHA4', 'HTR2B', 'HEG1', 'SULF2', 'HMCN1', 'ICAM5', 'FZD4', 'SULF1', 'TSPAN18', 'ITGA9', 'TMEFF1', 'ELFN1', 'FAT4', 'PPIAL4A', 'PCDHGC5', 'PCDH19', 'SIGLEC5', 'NXF2', 'NTN3', 'TNFRSF8', 'PCDHA6', 'EPX', 'PCDHA11', 'TRHR', 'TPTE', 'CDSN', 'SLC6A2', 'PCDHGB4', 'HTR1D', 'FLG2', 'UGT1A9', 'GP5', 'PCDHGB1', 'PCDHGB5', 'DCHS1', 'TNFSF18', 'SLC45A2', 'ARSF', 'NTSR1', 'PCDHGA9', 'DBH', 'INHBE', 'CACNG6', 'SIGLEC12', 'PCDH20', 'PLXNB3']"
